method,temperature,wer,cer,num_samples
greedy,0.5,0.5496987951807228,0.2556228373702422,200
beam_lm,0.5,0.5518072289156627,0.255352508650519,200
greedy,1.0,0.5496987951807228,0.2556228373702422,200
beam_lm,1.0,0.5533132530120481,0.2540008650519031,200
greedy,1.5,0.5496987951807228,0.2556228373702422,200
beam_lm,1.5,0.5614457831325301,0.2555687716262976,200
greedy,2.0,0.5496987951807228,0.2556228373702422,200
beam_lm,2.0,0.5765060240963855,0.2576232698961938,200
