beam_width,wer,cer,num_samples
1,0.11244194573453924,0.03803110314422751,200
3,0.11146418968467367,0.03783731408361998,200
10,0.1107308726472745,0.03769197228816433,200
50,0.1109753116597409,0.03769197228816433,200
