dataset,method,wer,cer,num_samples
librispeech_test_other,greedy,0.11219750672207285,0.038127997674531275,200
librispeech_test_other,beam,0.1107308726472745,0.03769197228816433,200
librispeech_test_other,beam_lm,0.10999755560987534,0.037498183227556804,200
librispeech_test_other,beam_lm_rescore,0.10999755560987534,0.03740128869725304,200
earnings22_test,greedy,0.5496987951807228,0.2556228373702422,200
earnings22_test,beam,0.5493975903614458,0.25362240484429066,200
earnings22_test,beam_lm,0.5533132530120481,0.2540008650519031,200
earnings22_test,beam_lm_rescore,0.5533132530120481,0.25362240484429066,200
