lm,method,wer,cer,num_samples
3gram,beam_lm,0.10999755560987534,0.037498183227556804,200
3gram,beam_lm_rescore,0.10999755560987534,0.037546630492708684,200
4gram,beam_lm,0.11048643363480812,0.037546630492708684,200
4gram,beam_lm_rescore,0.11024199462234173,0.037546630492708684,200
